C-CALL CENTER;C- TARIFAS/VUELOS;C-EQUIPAJE;C-SERVICIO AL CLIENTE;C-SISTEMA;C-OTROS;Stopwords;
TELEFONO;VALE;ROMPER;TRATO;CUENTA;VOLAR;UNA;
OPERADORA;TARIFA;ROBARON;TIEMPO;DATOS;TRATO;UNA;
OPERADORA;SOLES;ROBAR;SUPERVISORA;DESCARGAR;TICKET;UNA;
MES;ROBO;PERRO;SUPERVISORA;INGRESAR;SNACK;UN;
LLAMAR;REEMBOLSO;PERDIO;SERVICIO AL CLIENTE;LATAMPASS;SERVICIO;UN;
LLAMANDO;RATEROS;PERDIERON;SERVICIO;LENTA;SERVICIO;TE;
CONVERSAR;RATERO;PERDIERON;SERVICIO;LENTO;RECLAMOS;SU;
CONVERSACION;PROMO;PERDIDO;RESPETO;PAGINA;RECLAMOS;VERGONZOSO;
CONTESTAR;PRECIO;PERDER;PAGINA;PAGINA;PESIMO;SOY;
CONTESTAN;PRECIO;MOCHILA;MINUTOS;PROGRAMA;MALO;SON;
CONTESTAN;PAGUES;MASCOTA;MINUTO;SISTEMA;INEFICIENCIA;SON;
CONESTAR;PAGUE;MANO;MESES;WEB;HORAS;SIN;
CALL CENTER;PAGUE;MALTRATADA;MES;WEB;GESTION;SE;
ATIENDAN;PAGO;MALETA;INSULTO;;DESEAR;QUE;
ATENDER;PAGARME;GUITARA;INSULTO;;DESASTRE;PELOTUDOS;
ATENDER;PAGARLO;GATO;INEFICIENCIA;;CONSUMIDOR;PARA;
ANTIENDAN;PAGARLO;EQUIPAJE;HORAS;;COMODO;MI;
;PAGAR;ENTREGA;HORAS;;COMODIDAD;MI;
;PAGAR;DESTROZOS;HORAS;;AGUA;ME;
;PAGAR;DESTROZO;ESPERAR;;;LOS;
;MISERIA;DESTROZARON;EMPLEADOS;;;LO;
;LOW COST;DESTROZAR;DIAS;;;LA;
;LADRONZUELOS;DESPACHAR;DIAS;;;LA;
;LADRONZUELO;DESPACHADO;DIAS;;;IM;
;LADRONES;CARTERA;DIA;;;HASTA;
;LADRON;CANDADO;DIA;;;HACEN;
;GRATIS;BODEGA;CLIENTE;;;FUE;
;GASTO;ABRIR;CASO;;;FRECUENTE;
;GASTE;ABRIERON;ATENCION;;;ES;
;FLEX;ABRE;ATENCION;;;ES;
;EXTRAS;;ATENCION;;;EN;
;DÓLARES;;;;;EL;
;DEVOLUCION;;;;;E;
;DEMORAS;;;;;DEJA;
;DEMORADOS;;;;;DE;
;DEMORA;;;;;DE;
;DELINCUENTES;;;;;AL;
;DELINCUENTE;;;;;actividad;
;DELINCUENCIA;;;;;actividades;
;CORRUPTA;;;;;alumno;
;CORRUPTA;;;;;alumnos;
;COMPENSACION;;;;;aprendizaje;
;COBRAR;;;;;calificacion;
;COBRANDO;;;;;calificaciones;
;COBRAN;;;;;clase;
;CHORO;;;;;clases;
;CHORA;;;;;comentario;
;CARO;;;;;comentarios;
;CANCELADO;;;;;compañera;
;CANCELACIONES;;;;;compañero;
;CANCELACION;;;;;compañeros;
;ATRASO;;;;;conocimiento;
;ATRASADO;;;;;conocimientos;
;ABUSO;;;;;cosas;
;$;;;;;cronograma;
;;;;;;curso;
;;;;;;dinamica;
;;;;;;dinámica;
;;;;;;docente;
;;;;;;docentes;
;;;;;;duda;
;;;;;;dudas;
;;;;;;ejemplo;
;;;;;;ejemplos;
;;;;;;entrada;
;;;;;;evaluacion;
;;;;;;evaluaciones;
;;;;;;experiencia;
;;;;;;factores;
;;;;;;hora;
;;;;;;horario;
;;;;;;horarios;
;;;;;;ingles;
;;;;;;maestro;
;;;;;;maestros;
;;;;;;metodo;
;;;;;;metodos;
;;;;;;nota;
;;;;;;notas;
;;;;;;pedagogia;
;;;;;;persona;
;;;;;;personas;
;;;;;;practica;
;;;;;;practicas;
;;;;;;problemas;
;;;;;;profe;
;;;;;;profesor;
;;;;;;profesora;
;;;;;;profesores;
;;;;;;tarea;
;;;;;;teacher;
;;;;;;tema;
;;;;;;trabajo;
;;;;;;profesores;
;;;;;;maestra;
;;;;;;maestras;
;;;;;;temas;
;;;;;;grupo;
;;;;;;grupos;
;;;;;;materia;
;;;;;;materias;
;;;;;;haydee;
;;;;;;labview;
;;;;;;instrumento;
;;;;;;instrumentos;
;;;;;;material;
;;;;;;materiales;
;;;;;;patricia;
;;;;;;presentacion;
;;;;;;presentaciones;
;;;;;;rodriguez;
;;;;;;sandra;
;;;;;;a;
;;;;;;alguna;
;;;;;;algunas;
;;;;;;alguno;
;;;;;;algunos;
;;;;;;ambas;
;;;;;;ambos;
;;;;;;bastante;
;;;;;;cada;
;;;;;;cualquier;
;;;;;;cualquiera;
;;;;;;cuenta;
;;;;;;demasiado;
;;;;;;demasiados;
;;;;;;gran;
;;;;;;grupal;
;;;;;;mayor;
;;;;;;mayoría;
;;;;;;medio;
;;;;;;menos;
;;;;;;mitad;
;;;;;;monton;
;;;;;;montones;
;;;;;;mucha;
;;;;;;muchas;
;;;;;;muchisimo;
;;;;;;mucho;
;;;;;;muchos;
;;;;;;muy;
;;;;;;nada;
;;;;;;ninguna;
;;;;;;ninguno;
;;;;;;otro;
;;;;;;poco;
;;;;;;pocos;
;;;;;;poquito;
;;;;;;suficiente;
;;;;;;suficientes;
;;;;;;tanta;
;;;;;;tantas;
;;;;;;tanto;
;;;;;;tantos;
;;;;;;todo;
;;;;;;todos;
;;;;;;total;
;;;;;;varias;
;;;;;;varios;
;;;;;;a;
;;;;;;a;
;;;;;;acá;
;;;;;;ademas;
;;;;;;además;
;;;;;;ahí;
;;;;;;ajena;
;;;;;;al;
;;;;;;algo;
;;;;;;algún;
;;;;;;allá;
;;;;;;ambos;
;;;;;;ante;
;;;;;;antes;
;;;;;;aquel;
;;;;;;aquella;
;;;;;;aquí;
;;;;;;arriba;
;;;;;;así;
;;;;;;aun;
;;;;;;cabe;
;;;;;;cada;
;;;;;;como;
;;;;;;con;
;;;;;;conmigo;
;;;;;;conseguir;
;;;;;;consigo;
;;;;;;consigue;
;;;;;;consiguen;
;;;;;;consigues;
;;;;;;contigo;
;;;;;;cual;
;;;;;;cuales;
;;;;;;cualquier;
;;;;;;cuando;
;;;;;;cuanto;
;;;;;;de;
;;;;;;dejar;
;;;;;;del;
;;;;;;dentro;
;;;;;;desde;
;;;;;;donde;
;;;;;;dos;
;;;;;;e;
;;;;;;el;
;;;;;;él;
;;;;;;ella;
;;;;;;emplean;
;;;;;;emplear;
;;;;;;empleas;
;;;;;;empleo;
;;;;;;en;
;;;;;;encima;
;;;;;;entonces;
;;;;;;entre;
;;;;;;eramos;
;;;;;;eran;
;;;;;;eres;
;;;;;;es;
;;;;;;esa;
;;;;;;eso;
;;;;;;esta;
;;;;;;estaba;
;;;;;;estado;
;;;;;;estamos;
;;;;;;están;
;;;;;;estar;
;;;;;;este;
;;;;;;estoy;
;;;;;;etc;
;;;;;;fin;
;;;;;;fue;
;;;;;;fueron;
;;;;;;fui;
;;;;;;fuimos;
;;;;;;ha;
;;;;;;hacéis;
;;;;;;hacemos;
;;;;;;hacen;
;;;;;;hacer;
;;;;;;hacia;
;;;;;;hago;
;;;;;;hasta;
;;;;;;he;
;;;;;;incluso;
;;;;;;intenta;
;;;;;;intentáis;
;;;;;;intentamos;
;;;;;;intentan;
;;;;;;intentar;
;;;;;;intento;
;;;;;;ir;
;;;;;;junto;
;;;;;;la;
;;;;;;las;
;;;;;;le;
;;;;;;lo;
;;;;;;los;
;;;;;;mas;
;;;;;;más;
;;;;;;me;
;;;;;;mi;
;;;;;;mía;
;;;;;;mientras;
;;;;;;mío;
;;;;;;mis;
;;;;;;misma;
;;;;;;modo;
;;;;;;nos;
;;;;;;nosotras;
;;;;;;nuestra;
;;;;;;nunca;
;;;;;;otra;
;;;;;;para;
;;;;;;parecer;
;;;;;;pero;
;;;;;;podemos;
;;;;;;poder;
;;;;;;podría;
;;;;;;podríais;
;;;;;;podríamos;
;;;;;;podrían;
;;;;;;por;
;;;;;;por qué;
;;;;;;porque;
;;;;;;primero;
;;;;;;puede;
;;;;;;puedo;
;;;;;;pues;
;;;;;;que;
;;;;;;qué;
;;;;;;querer;
;;;;;;quién;
;;;;;;quienesquiera;
;;;;;;quienquiera;
;;;;;;quizá;
;;;;;;sabe;
;;;;;;sabéis;
;;;;;;sabemos;
;;;;;;saber;
;;;;;;se;
;;;;;;según;
;;;;;;ser;
;;;;;;si;
;;;;;;sí;
;;;;;;siendo;
;;;;;;sin;
;;;;;;sino;
;;;;;;so;
;;;;;;sobre;
;;;;;;sois;
;;;;;;solo;
;;;;;;sólo;
;;;;;;somos;
;;;;;;son;
;;;;;;soy;
;;;;;;sr;
