"Tweet";"clasificacion"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" RETRASADOS SERVICIO PENA CAMBIADO";"4"
" FECHA MIN QUISE HACERLO WEB CAMBIAR POSTVENTA SERVICIO BLOQUEO POSIB CNDO PODIA";"4"
" SERVICIO EXCELENTE GRACIAS";"4"
" CONVERSACION MINUTOS TELEFONICA CORTAN RESPUESTA LEJOS DESPUES";"4"
" ANIMALES RESPUESTAS DAN AHI SERVICIO VIAJEN PIERDEN";"4"
" HIJOS JAULA PUTA ÑA CLIENTE DUE SERVICIO PASO EMBALADA GATO ROTA ENTREGAN";"4"
" MINIMO SERVICIO TARIFA";"4"
" ANIMALES RESPUESTAS DAN AHI SERVICIO VIAJEN PIERDEN";"4"
" ANIMALES RESPUESTAS DAN AHI SERVICIO VIAJEN PIERDEN";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" MEJOR COMPROBADO SERVICIO LEJOS";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" LAN EMPRESA MOSTRADO FUSION PEOR SERVICIO";"4"
" MUERO EXCELENTE PENSABA SERVICIO";"4"
" ESTAN NOCHE PESIMO APLAZANDO TECNICOS SERVICIO";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" PESIMO CONCURRENCIA LUGARES CLIENTE SERVICIO EVENT PERVERSA AEROLINEA";"4"
" REVISIONES TECNICAS COMUNES AHORA ADICIONALES TERRIBLE";"5"
" MALTRATAN CLIENTES PESIMO NADIE SERVICIO SANCIONA AEROLINEA";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" PESIMO VEZ VIAJANDO ATRAPADO SERVICIO MILLAS";"4"
" DECIR TELEFONICO VEZ MALISIMO SERVICIO OFICINAS";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" CAGADA AUTOMATICOS BUENISMO RAZON ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" DEBE PASANDO BAJADO LAMENTO SERVICIO CALIDAD HORRIBLE";"4"
" PESIMO LAN CHILE SERVICIO DIFERENCIA BAJADA";"4"
" PRECIOS TV AVION TUC APOYA ROTO PERSONAL BSAS SUCIO SERVICIO COMIDA CABEZA ORDINARIO";"4"
" DAN CABOTAJE NIVELAN EMPRESAS SERVICIO COMIDA ACEPTABLE";"4"
" DEBE PASANDO SERVICI BAJADO LAMENTO CALIDAD HORRIBLE";"4"
" SERVICIO PESIMO";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CLIENTES LUGAR PESIMO CUIDEN AYUDAR PABLO UIO SERVICIO SALAZAR TRATO";"4"
" PESIMO CENTRAL COMPRAR RESERVAS SERVICIO TKT";"4"
" MALTRATAN CLIENTES PESIMO NADIE SERVICIO SANCIONA AEROLINEA";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" MALTRATAN CLIENTES PESIMO NADIE SERVICIO SANCIONA AEROLINEA";"4"
" HAN FORTALEZA ANTIGUAMENTE BAJADO SERVICIO CALIDAD";"4"
" MANDE VAN RATO HACERSE DM RESPONSABLE SERVICIO PESCAR VODIGO PAUPERRIMO";"4"
" CONFIAR IMPOSIBLE CLIENTE SERVICIO PESADILLA";"4"
" CAGADA AUTOMATICOS BUENISMO ARREGLAR TWEETS SERVICIO VERGUENZA TRATANDO";"4"
" SIEMPRE ODIADO MIERDA SERVICIO BASURA AHORA AEROLINEA ODIO";"4"
" CASO AFECTADO NUMERO PRESTARTE EXCELENTE IMPORTANTE POSEES AYUDARTE PASAJERO HOLA SERVICIO";"4"
" CASO AFECTADO NUMERO PRESTARTE EXCELENTE IMPORTANTE POSEES AYUDARTE PASAJERO HOLA SERVICIO";"4"
" CUARTA ÑIA CLIENTE SERVICIO INEPTA";"4"
" DELICADA ABORDO DECIR FORMA DAN IMPRESENTABLES SERVICIO";"4"
" CANCELADOS DESASTRE INFORMACION PASADO FALTA SERVICIO POBRE";"4"
" CUANTA IRRESPONSABILIDAD";"5"
" SERVICIO HORRIBLE";"4"
" NIVEL ASIENTO BENEFICIO SERVICIO TARIFA ENTREGAN";"4"
" CUANTA IRRESPONSABILIDAD";"5"
" CUANTA IRRESPONSABILIDAD";"5"
" CUANTA IRRESPONSABILIDAD";"5"
" MEJORO PESIMO RECOMIENDO REALMENTE FUSION SERVICIO MEXICO";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" ESTAN NOCHE PESIMO APLAZANDO TECNICOS SERVICIO";"4"
" INTERES ENTREGARTE EXCELENTE PREOCUPA NUESTRO HOLA SERVICIO ANTERIOR PRINCIPAL";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" DEBE SERVICIO MASCOTA APARECER TERRIBLE EXTRAVIARON";"4"
" SANTIAGO SOLICITADO CANCELADO GRACIAS SIDO SABIA TAXI AVISAN SERVICIO USTEDES HABIA";"4"
" HORAS ESPERANDO CENTER PESIMO CALL DM CLIENTE LLEVO RESPUESTA ERRORES SERVICIO COMETEN";"4"
" ESTAN VOUCHER RESP PESIMO TRAVEL RETRASANDO DIAS SERVICIO USANDO PASAJES COMPRA";"4"
" SERVICIO POSITIVOS";"4"
" VITAL COMENTAS EXCELENTE NOSOTROS PRESTARLES PREOCUPA HOLA SERVICIO IMPORTANCIA";"4"
" DETRAS IMPRESIONANTE EMPATIA CERO EMPRESA POCA VOCACION SERVICIO";"4"
" SERVICIO MALO AEROLINEA TERRIBLE";"4"
" COSTO PESIMO BARATOS EMPRESA SERVICIO CONVIRTIO PASAJES";"4"
" COSTO PESIMO BARATOS EMPRESA SERVICIO CONVIRTIO PASAJES";"4"
" COSTO PESIMO BARATOS EMPRESA SERVICIO CONVIRTIO PASAJES";"4"
" PESIMO CONCURRENCIA LUGARES CLIENTE SERVICIO EVENT PERVERSA AEROLINEA";"4"
" DEFINITIVAMENTE SEGURIDAD BUEN VIAJAR SERVICIO PUNTUALIDAD";"4"
" PESIMO TURISTICOS CONCURRENCIA LUGARES CLIENTE SERVICIO EVENTOS PERVERSA AEROLINEA";"4"
" ESTAN VOUCHER RESP PESIMO TRAVEL RETRASANDO DIAS SERVICIO USANDO PASAJES COMPRA";"4"
" CANJEADO KM RESPONDE CANJEE POST LAN SERVICIO PRODUCTO RECLAMO HORRIBLE";"4"
" DEVOLUCION DESASTRE NADIE RESPONDE PIDO SERVICIO CAMBIAN";"4"
" SIQUIERA PLATAFORMAS PESIMO EXISTE FUNCIONAN SERVICIO CALIDAD";"4"
" ESMERAMOS GUSTO ALEGRA EXCELENTE ESTES VERONICA HOLA RECIBISTE SERVICIO DIA";"4"
" <U+21E9> PEDISTE ACA EMPRESA HOLA SERVICIO COBRO RECLAMA";"4"
" DEFINITIVAMENTE SEGURIDAD BUEN VIAJAR SERVICIO PUNTUALIDAD";"4"
" ESTAN VOUCHER PESIMO TRAVEL RETRASANDO DIAS RESPUESTA SERVICIO USANDO PASAJES COMPRA";"4"
