"Tweet";"C1";"C2";"C3";"C4";"C5";"CLUSTER"
" PASAJEROS REALMENTE FRECUENTES DAN ÑIA COMO VERGONZOSO TRATO CAE";"0";"0";"0";"1";"0";"C4"
" ROMPIERON PUSIERON ABRIERON CANDADO NUEVO VIERON";"0";"0";"2";"0";"0";"C3"
" DESPACHADO CUANTAS CUANTAS EQUIPAJE FUE ABRE ACUERDO AEROPUERTO";"0";"0";"3";"0";"0";"C3"
" DICIENDO AVION HORAS RECLAMOS HAB TENDRIAMOS MAIL ATERRIZO DESPUES";"0";"0";"0";"1";"0";"C4"
" QUEDO LUGAR DESTROZARON RECLAMOS VUELO ASI MI DICEN GUITARRA";"0";"1";"1";"0";"0";"C3"
" GRACIAS INQUIETUDES EXCELENTE RESPUESTA SERVICIO INCONVENIENTES";"0";"0";"0";"1";"0";"C4"
" RESPONDIDA YA ESPERO DATO SOLICITADO SEA";"0";"0";"0";"0";"1";"C5"
" PAGINA COMPRANDO PERMITE BOTON FIRMANDO BOLETO ESTOY DANDOLE PAGO CONTINUAR AVANZAR HOLA";"0";"1";"0";"1";"1";"C5"
" DECIR BUROCRACIA PATETICOS PARA RESPONDER CON NECESITAN WIFI";"0";"0";"0";"0";"0";"C5"
" PERMITE DEVOLUCION SALUDOS SOLICITAR INVOLUNTARIO CAMBIO";"0";"1";"0";"0";"0";"C2"
" ANIMO CRISTIAN CONSIGAS DUDO";"0";"0";"0";"0";"0";"C5"
" BORDO PABLO SAN WI";"0";"0";"0";"0";"0";"C5"
" SOLA PERMITE PASAJEROS WEB TARJETA DESCARGAR";"0";"0";"0";"0";"1";"C5"
" INEFICIENCIA GESTION SOLUCIONAR QUE ERRORES MALA PROPIOS";"0";"0";"0";"1";"0";"C4"
" MALETA PERDIERON LMA-CANCUN";"0";"0";"2";"0";"0";"C3"
" CONEXIONES SUPERVISORA REGRESO AYUDAR AEROPUERTO INSULTO ESTAMOS ESTADIA";"0";"0";"0";"2";"0";"C4"
" SERVICIO PEOR ALCLIENTE";"0";"0";"0";"1";"0";"C4"
" MALETA RECIBI MIA LLEGO CONTENIDO";"0";"0";"1";"0";"0";"C3"
" ES UNA CLASICO LOCURA RT ESPERAR ABURRIERON";"0";"0";"0";"1";"0";"C4"
" EMPRESA SUGIEREORONTOS CERRAR TERRIBLE ATENCION";"0";"0";"0";"1";"0";"C4"
" ES UNA CLASICO LOCURA ESPERAR ABURRIERON";"0";"0";"0";"1";"0";"C4"
" RATEROS MIS UDS PASAJES AEROLINEA";"0";"1";"0";"0";"0";"C2"
" AIRLINES DIRECTOR COLOMBIA NOMBRA EJECUTIVO NUEVO LATAM";"0";"0";"0";"0";"1";"C5"
" PLEASE CALL DECIR ALGUIEN ATIENDAN CENTER";"3";"0";"0";"0";"0";"C1"
" MATIL MAIL";"0";"0";"0";"0";"0";"C5"
" CAMBIAN SELECCIONE ASIENTO CHEQUEO";"0";"0";"0";"0";"0";"C5"
" INES EL SILVA YMVIF RESERVA LA2429 MATILDE CODIGO MARIA";"0";"0";"0";"0";"0";"C5"
" TRANSPORTAR ESCRITORIO CPU PC DESPACHADO EQUIPAJE MANO GABINETE";"0";"0";"3";"0";"0";"C3"
" VOSOTROS SEGUN HABLAR";"0";"0";"0";"0";"0";"C5"
" REQUESTED RESOLVED MISSING FLIGHTS STILL STILL HALF CLOSE DON MY NOT THE PLEASE TICKET";"0";"0";"0";"0";"0";"C5"
" INGRESAR LATAMPASS";"0";"0";"0";"0";"2";"C5"
" MIA-SCL QUEDO LUGAR DESTROZARON RECLAMOS VUELO ASI DICEN RT GUITARRA";"0";"1";"1";"0";"0";"C3"
" PIDEN DATOS RESPONDER LOS ESTUPIDOS WIFI";"0";"0";"0";"0";"1";"C5"
" PASAJEROS REALMENTE FRECUENTES DAN ÑIA COMO VERGONZOSO TRATO CAE";"0";"0";"0";"1";"0";"C4"
" DESPACHADO CUANTAS CUANTAS EQUIPAJE FUE ABRE ACUERDO AEROPUERTO";"0";"0";"3";"0";"0";"C3"
" DICIENDO AVION HORAS HABLE RECLAMOS TENDRIAMOS MAIL ATERRIZO DESPUES";"0";"0";"0";"1";"0";"C4"
" QUEDO LUGAR DESTROZARON RECLAMOS VUELO ASI MI DICEN GUITARRA";"0";"1";"1";"0";"0";"C3"
" GRACIAS INQUIETUDES EXCELENTE RESPUESTA SERVICIO INCONVENIENTES";"0";"0";"0";"1";"0";"C4"
" DECIR BUROCRACIA PATETICOS PARA RESPONDER CON NECESITAN WIFI";"0";"0";"0";"0";"0";"C5"
" PERMITE DEVOLUCION SALUDOS SOLICITAR INVOLUNTARIO CAMBIO";"0";"1";"0";"0";"0";"C2"
" NADIE RESPONDE RESPUESTAS LATAM AIRLINES VERGUENZA UNO CONTESTA LEJOS ERAL ENTREGAN";"1";"0";"0";"0";"1";"C5"
" COBRAN SUBIR EXCESO MERCADO AIRLINES LATAM MALETAS INAFICIENTE AEROLINEA";"0";"1";"0";"0";"1";"C5"
" INFORMA RECOMENDACIONES AIRLINES LATAM MEDIDAS RAIZ";"0";"0";"0";"0";"1";"C5"
" ANIMO CRISTIAN CONSIGAS DUDO";"0";"0";"0";"0";"0";"C5"
" BUEN DATO VOLAR";"0";"0";"0";"0";"1";"C5"
" SOLA PERMITE PASAJEROS WEB TARJETA DESCARGAR";"0";"0";"0";"0";"1";"C5"
" INEFICIENCIA GESTION SOLUCIONAR QUE ERRORES MALA PROPIOS";"0";"0";"0";"1";"0";"C4"
" CONEXIONES SUPERVISORA REGRESO AYUDAR AEROPUERTO INSULTO ESTAMOS ESTADIA";"0";"0";"0";"2";"0";"C4"
" MALETA LLEGAR PERDIERON PEOR MXCO";"0";"0";"2";"0";"0";"C3"
" ES UNA CLASICO LOCURA RT ESPERAR ABURRIERON";"0";"0";"0";"1";"0";"C4"
" VINO IDO UUUU BOTELLAS CON PERFECTAS BIEN POBRE";"0";"0";"0";"0";"0";"C5"
" LOW MY EVEN THIS THIS LIFE FAR ISSUE AIRLINES BY RT NOT EXPERIENCE HAVE CUSTOMER THE WORSE EVER COST";"0";"1";"0";"0";"0";"C2"
" CANNOT TICKET HELP CAN PHONE BUY MULTIPLE WEBSITE YOUR TIMES SERVICE CUSTOMER YOU THE TRIED FROM";"0";"0";"0";"0";"0";"C5"
" CARO EXTRAS FUNCIONA QUERIAN COST ASI COBRANDO RT NO LOW";"0";"4";"0";"0";"0";"C2"
" GENTE TOMALO DEJALO ESPERATE EMPLEADOS CABRONES RT GUSTA SUS WEBEAR VAN";"0";"0";"0";"1";"0";"C4"
" VUELTA COMIDA COBRARON GRATIS";"0";"1";"0";"0";"0";"C2"
" CARO EXTRAS FUNCIONA QUERIAN COST ASI COBRANDO NO LOW";"0";"4";"0";"0";"0";"C2"
" SERVICIO PESIMO";"0";"0";"0";"1";"0";"C4"
" SERVICIO QUE LATAM MIERDA";"0";"0";"0";"1";"1";"C5"
" ESPERE SENTADO BIEN";"0";"0";"0";"0";"0";"C5"
" SERVICIO POBRE PASADO UN";"0";"0";"0";"1";"0";"C4"
" TRATA MISMO PASAJERO FAMOSO AQUI DA TRATADO";"0";"0";"1";"0";"0";"C3"
" PLASTICO BUEN LATAM MIERDA HUASOS RT INEFICIENTE SERVICIO GUITARRAS FALTO";"0";"0";"0";"1";"1";"C5"
" PEDAZOS TENGA LADRIS NO SERVICIO DEJARON";"0";"0";"0";"1";"0";"C4"
" MONT HOY CASI PAGUE SANTIAGO-PUERTO QUIERE VIAJE AGUA BODEGA RT EQUIPAJE PIE VIAJO";"0";"1";"2";"0";"0";"C3"
" BRINDAR SERVICIO CALIDAD";"0";"0";"0";"1";"0";"C4"
" GENTE TOMALO DEJALO ESPERATE EMPLEADOS CABRONES GUSTA SUS WEBEAR VAN";"0";"0";"0";"1";"0";"C4"
" CHILE ARGENTINOS LATAM RT ESTOS PELOTUDOS DICHO PASAJES";"0";"0";"0";"0";"1";"C5"
" LATAM ABSOLUTAMENTE RT INEFICIENTE";"0";"0";"0";"0";"1";"C5"
" SERVICIO DEFINITIVAMENTE CLIENTE AEROLINEA PEOR";"0";"0";"0";"2";"0";"C4"
" SERVICIO DESASTRE AEROPARQUE";"0";"0";"0";"1";"0";"C4"
" PESIMO TENIA CHILENOS CUMPLIDO CREIA HAN SERVICIO MUXOS ANHELO";"0";"0";"0";"1";"0";"C4"
" ÑIA LATAM PESIMA";"0";"0";"0";"0";"1";"C5"
" COLO MALO TRANSPORTE RT SERVICIO";"0";"0";"0";"1";"0";"C4"
" EMPRESA RT DESASTRE";"0";"0";"0";"0";"0";"C5"
" MALO SERVICIO RECLAMOS VEZ EMPEORA MEJOR RT INUTILES DIA LATAM RESPUESTAS";"0";"0";"0";"1";"1";"C5"
" EL RT SERVICIO PESIMO";"0";"0";"0";"1";"0";"C4"
