Texto;sentiment
"Otra vez movistar sin internet podrido con mal servicio @MovistarChile @SERNAC		-1";-1
"movistar tiene empleados y es una empresa privada, estoy dispuesta a pagar 		-1";-1
"quiero hacer una denuncia formal por mal servicio de movistar , todos los dias me desconecta a la 1:30 am yo trabajo a esa hora		-1";-1
"Movistar.. mal servicio!! Conx lenta..!!!""		-1";-1
"Conatel  Muy eficiente a la hora de aceptar aumento de tarifas telefonia celular! Aunado mal servicio de movilnet. Movistar de 5 a 37 mil.""		-1";-1
"Me pase de Movistar a Claro y es igual mal servicio con publicidad enganosa. Si tuvieran internet seria genial.		-1";-1
"Me pase de Movistar a Claro y es igual mal servicio con publicidad enganosa. Si tuvieran internet seria genial.		-1";-1
"ANCLegadoDeChavez la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reint		-1";-1
"Sobre la renta de Movistar: no me quejare... Acepto el aumento... Pero es a?tan poco dinero q no me puedo quejar del mal servicio""		-1";-1
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";-1
"Si el servicio tecnico Movistar ha dado fecha para el 31 de noviembre, muy mal ...		-1";-1
"Estoy tan dispuesta a pagar el incremento de Movistar, como lo estare cuando aumenten el del metro. El costo solo justifica		-1";-1
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";-1
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";-1
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";-1
"la lentitud y saboteo de Movilnet  Movistar y Digitel era para un aumento? y el mal servicio quien lo reintenta		-1";-1
"Estoy tan dispuesta a pagar el incremento de Movistar, como lo estare cuando aumenten el del metro. El costo solo justifica		-1";-1
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";-1
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...""		-1";-1
"Ahora viene la gente a quejarse porque tienen que pagar 30.000bs y el regimen le bloquea el aumento y mas		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"Bueno y Entonces Hasta Cuando Digitel y Movistar Violando a Sus Usuarios, Mal Servicio y Tarifas Impagables! @NicolasMaduro @Conatel OJO""		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"Telecomunicaciones q han sido subcobradas a ello le debemos mal servicio poca senal lentitud q no se resolveran con este aumento		-1";-1
"verga y tan mal servicio que presta Movistar""		-1";-1
"verga y tan mal servicio que presta Movistar""		-1";-1
"verga y tan mal servicio que presta Movistar""		-1";-1
"Que pasa con los aumentos de las tArifas sin aviso,el mal servicio 		-1";-1
"Un aumento del 750% en mi plan y no recib?un mensaje informativo, ni por respeto ni por cortes?. Que mal servicio		-1";-1
"Un aumento del 750% en mi plan y no recib?un mensaje informativo, ni por respeto ni por cortes?. Que mal servicio		-1";-1
"mal servicio telefnico en San Felipe - Comas. Tengo un postpago y la senal de internet falla constantemnte		-1";-1
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento""		-1";-1
"mal nacidos si quieren suban a 100mil los planes pero mejoren el mmg servicio malparido o salgan de Vzla de una		-1";-1
"Si te quejas de los aumentos de Movistar, deja perder la linea de una vez...asi se evitan las quejas de mal funcionamiento""		-1";-1
"como uds. M van a cobrar 60.000 Bs. De renta, es un absurdo, su mal servicio de cobertura y navegacion de internet es pesimo.""		-1";-1
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";-1
"Movistar Venezuela incrementa las tarifas. Los mismos q se quejan del mal servicio son los primeros que se quejan del aumento		-1";-1
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...""		-1";-1
"Golpe al bolsillo de movistar aumento descarado y el servicio de mal en peor cada dia...""		-1";-1
"Movistar Peru la peor PORQUERIA QUE PUDEMOS HABER ADQUIRIDO, el peor servicio, la peor senal, todo lo tienen mal		-1";-1
"Movistar no responde ante reiterados reclamos por mal servicio internet hogar""		-1";-1
"Un horror el mal servicio de @Movistar una pena , yo que confiaba en sus servicios , mi movil y mi casa con problemas @AyudaMovistarCL""		-1";-1
"Por que nadie contesta en el call center? Me bloquearon? Si dan mal servicio No les gustan los clientes que consultamos?""		-1";-1
"Mi teor? es que Movistar pertenece a Telcel, y lo usan para dar mal servicio 		-1";-1
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";-1
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";-1
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";-1
"Usuarios de @Telcel se quejan del servicio, pero continuan siendo clientes: Lee por que motivo		-1";-1
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";-1
"Yo sigo esperando desde ayer al tecnico de Movistar para que me traiga mi decodifiador. Que mal servicio. 		-1";-1
