"","x"
"1","RT @DanielUrresti1: Esta es la prueba más clara de q se  les viene la noche! Hasta hace poco se peleaban por ser su amigo, por salir en la…"
"2","RT @YuriArmas: @noticiAmerica Los favores se pagan!!! https://t.co/szlEtbkRi5"
"3","RT @MininterPeru: @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias @noticiAm…"
"4","#JuntémonosParaAlentar:  El mandatario difundió un video en apoyo al equipo nacional https://t.co/QcyqQBOThP"
"5","@sebastiano5551 @Freddypanche @canalN_ RT @sebastiano5551 Son canales de la mafia Odebrechista.@canalN_… https://t.co/DCIBsk3rVG"
"6","@malaga_armando @noticiAmerica https://t.co/dA8wwHBqZy"
"7","#JuntemonosParaAlentar Hoy todos somos un sólo sentimiento!! #conFePerú   @americatv_peru @noticiAmerica  @atvpe… https://t.co/4WGpPP1iv9"
"8","@noticiAmerica vamos Perú.. https://t.co/dsi3bSnFDc"
"9","@CarlosBasombrio @PoliciaPeru @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_… https://t.co/i6jbGX7Vqt"
"10","[AL AIRE] El acontecer nacional e internacional está #ANMediodía. Míralo por @AmericaTvGO <U+25BA> https://t.co/416ubkLX6C https://t.co/unU6q7xbDL"
"11","¿y cuando este carroñero? explica ¿para que fue? a visitar SOLAPAMENTE al debil OHT cuando era presidente de la com… https://t.co/MyVqVkN2e1"
"12","Solicitó que respuestas de Odebrecht deben ser entregadas a Comisión Lava Jato para que apoyen a la investigación https://t.co/klsOdbQFr9"
"13","RT @noticiAmerica: Repechaje: hinchas peruanos alientan así a nuestra selección en redes sociales #JuntémonosParaAlertar #ArribaPerú <U+25BA> http…"
"14","@noticiAmerica OMG! Semejante VULGAR, verguenza de mujer!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9>"
"15","@noticiAmerica Es una buena noticia. Terrorismo nunca más."
"16","RT @MininterPeru: @CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21n…"
"17","RT @noticiAmerica: #Francia: al menos tres estudiantes heridos deja atropello en #Blagnac. La Policía detuvo al conductor del auto <U+25BA> https:…"
"18","#Francia: al menos tres estudiantes heridos deja atropello en #Blagnac. La Policía detuvo al conductor del auto <U+25BA>… https://t.co/wx7eBXdoGu"
"19","Como este #HayFestival  se originó de una ciudad galesa donde se venden libros de segunda, acá en #Peru debió llama… https://t.co/auMykH8ruE"
"20","RT @noticiAmerica: [ÚLTIMO MINUTO] #Francia: conductor atropelló a peatones cerca de Toulouse. Al menos tres heridos <U+25BA> https://t.co/Gs0Bifp…"
"21","RT @noticiAmerica: [ÚLTIMO MINUTO] #Francia: conductor atropelló a peatones cerca de Toulouse. Al menos tres heridos <U+25BA> https://t.co/Gs0Bifp…"
"22","RT @noticiAmerica: [ÚLTIMO MINUTO] #Francia: conductor atropelló a peatones cerca de Toulouse. Al menos tres heridos <U+25BA> https://t.co/Gs0Bifp…"
"23","@americatv_peru @noticiAmerica tendrán el partido en vivo por América TV GO para poder verlo fuera del país? Avisen… https://t.co/LOBRwo6FZZ"
"24","¡Terrible! A no... pero recuerda que son musulmanes. https://t.co/rYS0SOOKsE"
"25","RT @noticiAmerica: [ÚLTIMO MINUTO] #Francia: conductor atropelló a peatones cerca de Toulouse. Al menos tres heridos <U+25BA> https://t.co/Gs0Bifp…"
"26","RT @noticiAmerica: [ÚLTIMO MINUTO] #Francia: conductor atropelló a peatones cerca de Toulouse. Al menos tres heridos <U+25BA> https://t.co/Gs0Bifp…"
"27","[ÚLTIMO MINUTO] #Francia: conductor atropelló a peatones cerca de Toulouse. Al menos tres heridos <U+25BA>… https://t.co/mEGAVVOKmG"
"28","RT @noticiAmerica: Repechaje: hinchas peruanos alientan así a nuestra selección en redes sociales #JuntémonosParaAlertar #ArribaPerú <U+25BA> http…"
"29","@Doncito05 @noticiAmerica Didi puso a Sotil"
"30","@larepublica_pe y los medios de tv no comentan nada sobre esto...siendo muy importante para el futuro de los niños… https://t.co/nYhtQf7EIo"
"31","RT @MininterPeru: @CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21n…"
"32","@Latina_Noticias @RPPNoticias @noticiAmerica @rppdeportes @diariocorreo @LatinaDeportes esto sucede en #MachuPicchu… https://t.co/0VjXUIGUta"
"33","@noticiAmerica México 70"
"34","@CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/Q8YUIdlqgp"
"35","RT @MininterPeru: @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo @peru21noticias @noticiAm…"
"36","@CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/dRy9iTn1jk"
"37","@noticiAmerica Es como decir q ud es un excelente ministro del Interior,Ppk quiere autoridades a su medida y este f… https://t.co/YQnSIGF17H"
"38","@noticiAmerica Inicial santa rosa la perla callao https://t.co/qFXitE80YJ"
"39","@noticiAmerica Vamos Perú!!! https://t.co/bE702b90Kq"
"40","#AlertaNoticias vía Whatsapp. Agréganos y repórtanos tus  denuncias o emergencias <U+25BA> https://t.co/9heCt5FC2r https://t.co/w9r6n2fQy5"
"41","¡Defendamos nuestra camiseta, rumbo a Rusia 2018! Envíanos tus fotos o vídeos usando el HT #JuntémonosParaAlentar <U+26BD>… https://t.co/dPnYoFecoT"
"42","@CarlosBasombrio @Agencia_Andina @noticias_tvperu @Lima_ECpe @RPPNoticias @larepublica_pe @canalN_ @diariocorreo… https://t.co/JLH14NwGNX"
"43","#ANDigital Mira el noticiero EN VIVO  de @noticiAmerica  de lun. a vie. a la 1:30 p.m. <U+25BA> https://t.co/a0G8vKcQdJ https://t.co/SUtCur4Tgu"
"44","@noticiAmerica Inicial Santa Rosa la Perla Callao https://t.co/wR2vP9OpZu"
